team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Tottenham Hotspur,4231.0,570.0,367.0,33.0,26.0,63.0,226.0,143.0,5.0,15.0,3.0,18.0,20.0,11.0,150.0,13.0
Tottenham Hotspur,4231.0,765.0,584.0,49.0,37.0,52.0,294.0,149.0,9.0,15.0,2.0,11.0,18.0,7.0,310.0,8.0
Tottenham Hotspur,3412.0,514.0,356.0,17.0,21.0,37.0,187.0,96.0,3.0,5.0,3.0,13.0,13.0,8.0,188.0,9.0
Tottenham Hotspur,442.0,583.0,371.0,21.0,24.0,33.0,182.0,79.0,5.0,5.0,2.0,29.0,36.0,7.0,202.0,14.0
Tottenham Hotspur,433.0,643.0,439.0,34.0,23.0,54.0,216.0,111.0,3.0,9.0,3.0,21.0,29.0,11.0,241.0,11.0
Tottenham Hotspur,4231.0,887.0,690.0,51.0,23.0,61.0,343.0,141.0,3.0,9.0,1.0,27.0,19.0,19.0,360.0,8.0
Tottenham Hotspur,4231.0,815.0,633.0,40.0,22.0,48.0,240.0,107.0,7.0,9.0,0.0,12.0,18.0,9.0,403.0,6.0
Tottenham Hotspur,4141.0,492.0,303.0,21.0,17.0,49.0,162.0,73.0,4.0,4.0,4.0,24.0,17.0,5.0,152.0,12.0
Tottenham Hotspur,3412.0,804.0,630.0,49.0,36.0,58.0,356.0,184.0,4.0,12.0,3.0,10.0,24.0,13.0,293.0,14.0
Tottenham Hotspur,343.0,745.0,592.0,43.0,14.0,73.0,282.0,130.0,2.0,1.0,2.0,14.0,16.0,11.0,315.0,9.0
Tottenham Hotspur,352.0,664.0,467.0,41.0,25.0,44.0,265.0,113.0,5.0,10.0,2.0,13.0,19.0,13.0,222.0,15.0
Tottenham Hotspur,4231.0,561.0,347.0,34.0,17.0,53.0,218.0,111.0,6.0,14.0,1.0,24.0,17.0,11.0,137.0,15.0
Tottenham Hotspur,4231.0,710.0,518.0,51.0,40.0,67.0,304.0,157.0,3.0,5.0,2.0,20.0,8.0,8.0,237.0,15.0
Tottenham Hotspur,4231.0,826.0,632.0,51.0,65.0,63.0,453.0,214.0,5.0,6.0,1.0,15.0,11.0,5.0,223.0,12.0
Tottenham Hotspur,4231.0,493.0,318.0,24.0,11.0,39.0,143.0,68.0,3.0,1.0,1.0,25.0,12.0,8.0,177.0,13.0
Tottenham Hotspur,3511.0,673.0,503.0,36.0,32.0,55.0,278.0,119.0,1.0,5.0,4.0,13.0,14.0,7.0,242.0,13.0
Tottenham Hotspur,4231.0,707.0,511.0,42.0,16.0,46.0,249.0,96.0,6.0,5.0,1.0,25.0,23.0,7.0,274.0,13.0
Tottenham Hotspur,4231.0,818.0,640.0,49.0,30.0,72.0,453.0,194.0,8.0,15.0,1.0,10.0,8.0,8.0,207.0,15.0
Tottenham Hotspur,4231.0,730.0,552.0,46.0,34.0,65.0,345.0,143.0,1.0,8.0,1.0,9.0,17.0,4.0,231.0,15.0
Tottenham Hotspur,442.0,651.0,444.0,31.0,26.0,47.0,230.0,109.0,4.0,6.0,3.0,28.0,22.0,17.0,229.0,9.0
Tottenham Hotspur,4141.0,656.0,442.0,33.0,35.0,47.0,248.0,136.0,4.0,12.0,1.0,20.0,22.0,13.0,222.0,12.0
Tottenham Hotspur,442.0,706.0,502.0,31.0,21.0,43.0,286.0,126.0,6.0,12.0,0.0,22.0,20.0,8.0,227.0,8.0
Tottenham Hotspur,532.0,547.0,348.0,27.0,38.0,71.0,228.0,122.0,5.0,17.0,1.0,11.0,16.0,5.0,148.0,13.0
Tottenham Hotspur,442.0,646.0,421.0,31.0,28.0,45.0,237.0,117.0,3.0,6.0,1.0,18.0,14.0,8.0,201.0,13.0
Tottenham Hotspur,4231.0,662.0,482.0,39.0,15.0,34.0,204.0,72.0,2.0,4.0,0.0,18.0,20.0,6.0,289.0,14.0
Tottenham Hotspur,4231.0,562.0,378.0,41.0,12.0,50.0,182.0,83.0,4.0,5.0,2.0,21.0,21.0,7.0,201.0,9.0
Tottenham Hotspur,4231.0,447.0,253.0,19.0,17.0,60.0,179.0,101.0,0.0,4.0,0.0,23.0,17.0,13.0,87.0,14.0
Tottenham Hotspur,433.0,876.0,698.0,58.0,31.0,56.0,450.0,202.0,4.0,11.0,0.0,21.0,11.0,8.0,258.0,12.0
Tottenham Hotspur,3421.0,746.0,556.0,38.0,25.0,58.0,320.0,151.0,5.0,3.0,1.0,13.0,17.0,10.0,251.0,11.0
Tottenham Hotspur,343.0,776.0,580.0,44.0,25.0,44.0,261.0,116.0,9.0,5.0,1.0,17.0,11.0,11.0,332.0,4.0
Tottenham Hotspur,4231.0,746.0,542.0,48.0,38.0,61.0,326.0,163.0,4.0,7.0,0.0,21.0,18.0,12.0,246.0,20.0
Tottenham Hotspur,433.0,998.0,813.0,57.0,51.0,100.0,570.0,291.0,2.0,15.0,0.0,12.0,14.0,15.0,271.0,8.0
Tottenham Hotspur,442.0,546.0,344.0,38.0,25.0,41.0,196.0,104.0,5.0,11.0,0.0,11.0,14.0,16.0,162.0,15.0
Tottenham Hotspur,4231.0,588.0,438.0,38.0,22.0,39.0,233.0,110.0,3.0,2.0,1.0,5.0,14.0,9.0,212.0,9.0
Tottenham Hotspur,4231.0,712.0,508.0,44.0,25.0,49.0,305.0,120.0,6.0,13.0,1.0,16.0,14.0,8.0,224.0,12.0
Tottenham Hotspur,442.0,528.0,364.0,39.0,26.0,75.0,253.0,127.0,10.0,3.0,4.0,15.0,12.0,14.0,126.0,9.0
Tottenham Hotspur,4231.0,598.0,416.0,37.0,20.0,34.0,232.0,115.0,3.0,2.0,0.0,15.0,19.0,11.0,193.0,14.0
Tottenham Hotspur,433.0,576.0,419.0,31.0,12.0,45.0,182.0,67.0,2.0,7.0,6.0,8.0,20.0,5.0,243.0,18.0
